Id,Make,Model,Year,CarType,AirConditioner,DateModified
1,Volvo,S60,2010,1,1,2019-07-04 10:41:31.0200000
2,Audi,A4,2002,1,1,2019-07-04 10:41:31.0209381
3,BMW,535d,2006,1,1,2019-07-04 10:41:31.0209381
4,BMW,320d,2006,1,0,2019-07-04 10:41:31.0209381
5,VW,Passat,2007,1,0,2019-07-04 10:41:31.0209381
6,VW,Passat,2008,1,1,2019-07-04 10:41:31.0209381
7,Peugeot,407,2006,1,1,2019-07-04 10:41:31.0209381
8,Honda,Accord,2008,1,0,2019-07-04 10:41:31.0209381
9,Alfa Romeo,159,2008,1,0,2019-07-04 10:41:31.0209381
10,Nissan,Almera,2001,1,1,2019-07-04 10:41:31.0209381
11,Mitsubishi,Lancer,2008,1,1,2019-07-04 10:41:31.0209381
12,Opel,Vectra,2008,1,1,2019-07-04 10:41:31.0209381
13,Toyota,Avensis,2006,1,0,2019-07-04 10:41:31.0209381
14,Toyota,Avensis,2008,1,1,2019-07-04 10:41:31.0209381
15,Toyota,Avensis,2008,1,1,2019-07-04 10:41:31.0209381
16,Audi,Q7,2007,0,1,2019-07-04 10:41:31.0209381
17,Hyundai,Santa Fe,2012,0,1,2019-07-04 10:41:31.0209381
18,Hyundai,Santa Fe,2013,0,1,2019-07-04 10:41:31.0209381
19,Nissan,Qashqai,2007,0,1,2019-07-04 10:41:31.0209381
20,Mercedez,B Class,2007,2,1,2019-07-04 10:41:31.0209381
21,Lancia,Ypsilon,2006,2,1,2019-07-04 10:41:31.0209381
22,BMW,315 (75PS),1981,1,1,2019-07-04 11:15:55.0489381
23,BMW,316 (90PS),1975,1,0,2019-07-04 11:15:55.1119381
24,BMW,316 (90PS),1980,1,1,2019-07-04 11:15:55.1549381
25,BMW,318 (98PS),1975,1,0,2019-07-04 11:15:55.1999381
26,BMW,318i (105PS),1980,1,1,2019-07-04 11:15:55.2469381
27,BMW,320 (109PS),1975,1,0,2019-07-04 11:15:55.2909381
28,BMW,320i (125PS),1975,1,0,2019-07-04 11:15:55.3369381
29,BMW,320 (122PS),1977,1,0,2019-07-04 11:15:55.3819381
30,BMW,323i (143PS),1977,1,0,2019-07-04 11:15:55.4299381
31,BMW,316i (100PS),1988,1,1,2019-07-04 11:15:55.4759381
32,BMW,316 (90PS),1983,1,1,2019-07-04 11:15:55.5199381
33,BMW,316i Kat (102PS),1987,1,1,2019-07-04 11:15:55.5659381
34,BMW,318i (105PS),1983,1,1,2019-07-04 11:15:55.6129381
35,BMW,318i Kat (102PS),1986,1,1,2019-07-04 11:15:55.6609381
36,BMW,318i Kat (113PS),1987,1,1,2019-07-04 11:15:55.7049381
37,BMW,318iS (136PS),1990,1,1,2019-07-04 11:15:55.7509381
38,BMW,320i (125PS),1983,1,1,2019-07-04 11:15:55.7989381
39,BMW,320i (129PS),1985,1,1,2019-07-04 11:15:55.8449381
40,BMW,320i Kat (129PS),1987,1,1,2019-07-04 11:15:55.8889381
41,BMW,323i (150PS),1983,1,1,2019-07-04 11:15:55.9329381
42,BMW,325i (171PS),1985,1,1,2019-07-04 11:15:55.9749381
43,BMW,325i Kat (170PS),1986,1,1,2019-07-04 11:15:56.0189381
44,BMW,325i Allrad (171PS),1985,1,1,2019-07-04 11:15:56.0639381
45,BMW,325iX Allrad Kat (170PS),1986,1,1,2019-07-04 11:15:56.1089381
46,BMW,325iX Allrad Kat (170PS),1987,1,1,2019-07-04 11:15:56.1559381
47,BMW,325e Kat (122PS),1985,1,1,2019-07-04 11:15:56.2009381
48,BMW,325e Kat (129PS),1986,1,1,2019-07-04 11:15:56.2469381
49,BMW,M3 (195PS),1985,1,1,2019-07-04 11:15:56.2909381
50,BMW,M3 (200PS),1986,1,1,2019-07-04 11:15:56.3379381
51,BMW,M3 Kat (195PS),1986,1,1,2019-07-04 11:15:56.3829381
52,BMW,M3 Kat (194PS),1987,1,1,2019-07-04 11:15:56.4259381
53,BMW,324d (86PS),1985,1,1,2019-07-04 11:15:56.4689381
54,BMW,324d (86PS),1987,1,1,2019-07-04 11:15:56.5159381
55,BMW,324td (115PS),1987,1,1,2019-07-04 11:15:56.5639381
56,BMW,316i touring Kat (100PS),1991,4,1,2019-07-04 11:15:56.6159381
57,BMW,318i touring Kat (113PS),1989,4,1,2019-07-04 11:15:56.6599381
58,BMW,320i touring Kat (129PS),1987,4,1,2019-07-04 11:15:56.7059381
59,BMW,325i touring Kat (170PS),1987,4,1,2019-07-04 11:15:56.7499381
60,BMW,325iX touring Kat (170PS),1987,4,1,2019-07-04 11:15:56.7969381
61,BMW,324td touring (115PS),1987,4,1,2019-07-04 11:15:56.8429381
62,BMW,318i Cabrio Kat (113PS),1991,3,1,2019-07-04 11:15:56.8869381
63,BMW,325i Cabrio (171PS),1985,3,1,2019-07-04 11:15:56.9359381
64,BMW,325i Cabrio Kat (170PS),1986,3,1,2019-07-04 11:15:56.9789381
65,BMW,320i Cabrio Kat (129PS),1987,3,1,2019-07-04 11:15:57.0239381
66,BMW,325i Cabrio Kat (170PS),1987,3,1,2019-07-04 11:15:57.0679381
67,BMW,M3 Kat Cabrio (195PS),1988,3,1,2019-07-04 11:15:57.1119381
68,BMW,316i compact (102PS),1994,2,1,2019-07-04 11:15:57.1579381
69,BMW,318ti compact (140PS),1994,2,1,2019-07-04 11:15:57.2039381
70,BMW,323ti compact (170PS),1998,2,1,2019-07-04 11:15:57.2479381
71,BMW,318tds compact (90PS),1995,2,1,2019-07-04 11:15:57.2929381
72,BMW,316i (100PS),1991,1,1,2019-07-04 11:15:57.3359381
73,BMW,316i (102PS),1993,1,1,2019-07-04 11:15:57.3829381
74,BMW,318i (113PS),1991,1,1,2019-07-04 11:15:57.4279381
75,BMW,318i (115PS),1993,1,1,2019-07-04 11:15:57.4749381
76,BMW,318is (140PS),1993,1,1,2019-07-04 11:15:57.5199381
77,BMW,320i (150PS),1991,1,1,2019-07-04 11:15:57.5619381
78,BMW,323i (170PS),1995,1,1,2019-07-04 11:15:57.6059381
79,BMW,325i (192PS),1991,1,1,2019-07-04 11:15:57.6499381
80,BMW,328i (193PS),1995,1,1,2019-07-04 11:15:57.6949381
81,BMW,M3 (286PS),1994,1,1,2019-07-04 11:15:57.7399381
82,BMW,M3 (321PS),1995,1,1,2019-07-04 11:15:57.7839381
83,BMW,318tds (90PS),1994,1,1,2019-07-04 11:15:57.8279381
84,BMW,325td (115PS),1992,1,1,2019-07-04 11:15:57.8709381
85,BMW,325tds (143PS),1993,1,1,2019-07-04 11:15:57.9169381
86,BMW,316i touring (102PS),1997,4,1,2019-07-04 11:15:57.9629381
87,BMW,318i touring (115PS),1996,4,1,2019-07-04 11:15:58.0069381
88,BMW,320i touring (150PS),1995,4,1,2019-07-04 11:15:58.0539381
89,BMW,323i touring (170PS),1996,4,1,2019-07-04 11:15:58.0969381
90,BMW,328i touring (193PS),1995,4,1,2019-07-04 11:15:58.1409381
91,BMW,318tds touring (90PS),1995,4,1,2019-07-04 11:15:58.1849381
92,BMW,325tds touring (143PS),1995,4,1,2019-07-04 11:15:58.2299381
93,BMW,316i Coupé (102PS),1993,5,1,2019-07-04 11:15:58.2759381
94,BMW,318is Coupé (140PS),1992,5,1,2019-07-04 11:15:58.3199381
95,BMW,320i Coupé (150PS),1992,5,1,2019-07-04 11:15:58.3649381
96,BMW,323i Coupé (170PS),1995,5,1,2019-07-04 11:15:58.4109381
97,BMW,325i Coupé (192PS),1992,5,1,2019-07-04 11:15:58.4549381
98,BMW,328i Coupé (193PS),1995,5,1,2019-07-04 11:15:58.4999381
99,BMW,M3 Coupé (286PS),1992,5,1,2019-07-04 11:15:58.5439381
100,BMW,M3 Coupé (321PS),1995,5,1,2019-07-04 11:15:58.5879381
101,BMW,318i Cabrio (115PS),1994,3,1,2019-07-04 11:15:58.6329381
102,BMW,320i Cabrio (150PS),1994,3,1,2019-07-04 11:15:58.6759381
103,BMW,323i Cabrio (170PS),1997,3,1,2019-07-04 11:15:58.7199381
104,BMW,325i Cabrio (192PS),1993,3,1,2019-07-04 11:15:58.7639381
105,BMW,328i Cabrio (193PS),1995,3,1,2019-07-04 11:15:58.8079381
106,BMW,M3 Cabrio (286PS),1994,3,1,2019-07-04 11:15:58.8539381
107,BMW,M3 Cabrio (321PS),1995,3,1,2019-07-04 11:15:58.8999381
108,BMW,316ti compact (115PS),2001,2,1,2019-07-04 11:15:58.9449381
109,BMW,318ti compact (143PS),2001,2,1,2019-07-04 11:15:58.9949381
110,BMW,325ti compact (192PS),2001,2,1,2019-07-04 11:15:59.0409381
111,BMW,318td compact (115PS),2003,2,1,2019-07-04 11:15:59.0859381
112,BMW,320td compact (150PS),2001,2,1,2019-07-04 11:15:59.1299381
113,BMW,316i (105PS),1999,1,1,2019-07-04 11:15:59.1739381
114,BMW,318i (118PS),1998,1,1,2019-07-04 11:15:59.2169381
115,BMW,316i (115PS),2002,1,1,2019-07-04 11:15:59.2619381
116,BMW,318i (143PS),2001,1,1,2019-07-04 11:15:59.3069381
117,BMW,320i (150PS),1998,1,1,2019-07-04 11:15:59.3519381
118,BMW,320i (170PS),2000,1,1,2019-07-04 11:15:59.3989381
119,BMW,323i (170PS),1998,1,1,2019-07-04 11:15:59.4449381
120,BMW,325i (192PS),2000,1,1,2019-07-04 11:15:59.4899381
121,BMW,328i (193PS),1998,1,1,2019-07-04 11:15:59.5359381
122,BMW,330i (231PS),2000,1,1,2019-07-04 11:15:59.5799381
123,BMW,318d (115PS),2001,1,1,2019-07-04 11:15:59.6279381
124,BMW,320d (136PS),1998,1,1,2019-07-04 11:15:59.6759381
125,BMW,320d (150PS),2001,1,1,2019-07-04 11:15:59.7209381
126,BMW,330d (184PS),1999,1,1,2019-07-04 11:15:59.7669381
127,BMW,330d (204PS),2003,1,1,2019-07-04 11:15:59.8119381
128,BMW,325xi (192PS),2001,1,1,2019-07-04 11:15:59.8579381
129,BMW,325xi (192PS),2003,1,1,2019-07-04 11:15:59.9029381
130,BMW,330xi (231PS),2000,1,1,2019-07-04 11:15:59.9479381
131,BMW,330xd (184PS),2000,1,1,2019-07-04 11:15:59.9959381
132,BMW,330xd (204PS),2003,1,1,2019-07-04 11:16:00.0409381
133,BMW,318i touring (118PS),1999,4,1,2019-07-04 11:16:00.0859381
134,BMW,316i touring (115PS),2002,4,1,2019-07-04 11:16:00.1319381
135,BMW,318i touring (143PS),2001,4,1,2019-07-04 11:16:00.1769381
136,BMW,320i touring (150PS),1999,4,1,2019-07-04 11:16:00.2239381
137,BMW,320i touring (170PS),2000,4,1,2019-07-04 11:16:00.2679381
138,BMW,325i touring (192PS),2000,4,1,2019-07-04 11:16:00.3139381
139,BMW,328i touring (193PS),1999,4,1,2019-07-04 11:16:00.3579381
140,BMW,330i touring (231PS),2000,4,1,2019-07-04 11:16:00.4039381
141,BMW,318d touring (115PS),2002,4,1,2019-07-04 11:16:00.4489381
142,BMW,320d touring (136PS),1999,4,1,2019-07-04 11:16:00.4949381
143,BMW,320d touring (150PS),2002,4,1,2019-07-04 11:16:00.5399381
144,BMW,330d touring (184PS),1999,4,1,2019-07-04 11:16:00.5859381
145,BMW,330d touring (204PS),2003,4,1,2019-07-04 11:16:00.6319381
146,BMW,325xi touring (192PS),2001,4,1,2019-07-04 11:16:00.6789381
147,BMW,330xi touring (231PS),2000,4,1,2019-07-04 11:16:00.7229381
148,BMW,330xd touring (184PS),2000,4,1,2019-07-04 11:16:00.7709381
149,BMW,330xd touring (204PS),2003,4,1,2019-07-04 11:16:00.8169381
150,BMW,318Ci Coupé (118PS),1999,5,1,2019-07-04 11:16:00.8619381
151,BMW,318Ci Coupé (143PS),2001,5,1,2019-07-04 11:16:00.9229381
152,BMW,320Ci Coupé (150PS),1999,5,1,2019-07-04 11:16:00.9739381
153,BMW,320Ci Coupé (170PS),2000,5,1,2019-07-04 11:16:01.0339381
154,BMW,323Ci Coupé (170PS),1999,5,1,2019-07-04 11:16:01.0809381
155,BMW,325Ci Coupé (192PS),2000,5,1,2019-07-04 11:16:01.1259381
156,BMW,328Ci Coupé (193PS),1999,5,1,2019-07-04 11:16:01.1709381
157,BMW,330Ci Coupé (231PS),2000,5,1,2019-07-04 11:16:01.2149381
158,BMW,320Cd Coupé (150PS),2003,5,1,2019-07-04 11:16:01.2599381
159,BMW,330Cd Coupé (204PS),2003,5,1,2019-07-04 11:16:01.3029381
160,BMW,M3 Coupé (343PS),2001,5,1,2019-07-04 11:16:01.3469381
161,BMW,M3 Coupé CSL (360PS),2003,5,1,2019-07-04 11:16:01.3949381
162,BMW,318Ci Cabrio (143PS),2001,3,1,2019-07-04 11:16:01.4419381
163,BMW,320Ci Cabrio (170PS),2000,3,1,2019-07-04 11:16:01.4889381
164,BMW,325Ci Cabrio (192PS),2000,3,1,2019-07-04 11:16:01.5319381
165,BMW,330Ci Cabrio (231PS),2000,3,1,2019-07-04 11:16:01.5779381
166,BMW,320Cd Cabrio (150PS),2005,5,1,2019-07-04 11:16:01.6249381
167,BMW,330Cd Cabrio (204PS),2005,5,1,2019-07-04 11:16:01.6699381
168,BMW,M3 Cabrio (343PS),2001,3,1,2019-07-04 11:16:01.7149381
169,BMW,318i (129PS),2005,1,1,2019-07-04 11:16:01.7599381
170,BMW,318i (143PS),2007,1,1,2019-07-04 11:16:01.8049381
171,BMW,320i (150PS),2005,1,1,2019-07-04 11:16:01.8519381
172,BMW,320i (170PS),2007,1,1,2019-07-04 11:16:01.8959381
173,BMW,320si (173PS),2006,1,1,2019-07-04 11:16:01.9419381
174,BMW,325i (218PS),2005,1,1,2019-07-04 11:16:01.9849381
175,BMW,325i (218PS),2007,1,1,2019-07-04 11:16:02.0289381
176,BMW,330i (258PS),2005,1,1,2019-07-04 11:16:02.0729381
177,BMW,330i (272PS),2007,1,1,2019-07-04 11:16:02.1169381
178,BMW,335i (306PS),2006,1,1,2019-07-04 11:16:02.1619381
179,BMW,335i (306PS),2007,1,1,2019-07-04 11:16:02.2049381
180,BMW,335i (306PS),2010,1,1,2019-07-04 11:16:02.2489381
181,BMW,M3 (420PS),2008,1,1,2019-07-04 11:16:02.2929381
182,BMW,316d (115PS),2009,1,1,2019-07-04 11:16:02.3349381
183,BMW,318d (122PS),2005,1,1,2019-07-04 11:16:02.3809381
184,BMW,318d (143PS),2007,1,1,2019-07-04 11:16:02.4229381
185,BMW,318d (143PS),2010,1,1,2019-07-04 11:16:02.4659381
186,BMW,320d (163PS),2005,1,1,2019-07-04 11:16:02.5109381
187,BMW,320d EDE (163PS),2009,1,1,2019-07-04 11:16:02.5539381
188,BMW,320d (177PS),2007,1,1,2019-07-04 11:16:02.5999381
189,BMW,320d (184PS),2010,1,1,2019-07-04 11:16:02.6439381
190,BMW,325d (197PS),2006,1,1,2019-07-04 11:16:02.6879381
191,BMW,325d (197PS),2007,1,1,2019-07-04 11:16:02.7329381
192,BMW,325d (204PS),2010,1,1,2019-07-04 11:16:02.7759381
193,BMW,330d (231PS),2005,1,1,2019-07-04 11:16:02.8209381
194,BMW,330d (231PS),2007,1,1,2019-07-04 11:16:02.8659381
195,BMW,330d (245PS),2008,1,1,2019-07-04 11:16:02.9119381
196,BMW,330d (245PS),2010,1,1,2019-07-04 11:16:02.9559381
197,BMW,335d (286PS),2006,1,1,2019-07-04 11:16:02.9989381
198,BMW,335d (286PS),2007,1,1,2019-07-04 11:16:03.0769381
199,BMW,335d (286PS),2010,1,1,2019-07-04 11:16:03.1199381
200,BMW,325xi (218PS),2005,1,1,2019-07-04 11:16:03.1649381
201,BMW,325xi (218PS),2007,1,1,2019-07-04 11:16:03.2099381
202,BMW,325xi (218PS),2010,1,1,2019-07-04 11:16:03.2539381
203,BMW,330xi (258PS),2005,1,1,2019-07-04 11:16:03.2979381
204,BMW,330xi (272PS),2007,1,1,2019-07-04 11:16:03.3429381
205,BMW,330xi (272PS),2010,1,1,2019-07-04 11:16:03.3879381
206,BMW,335xi (306PS),2007,1,1,2019-07-04 11:16:03.4329381
207,BMW,335xi (306PS),2010,1,1,2019-07-04 11:16:03.4769381
208,BMW,320xd (177PS),2008,1,1,2019-07-04 11:16:03.5219381
209,BMW,320xd (184PS),2010,1,1,2019-07-04 11:16:03.5689381
210,BMW,330xd (231PS),2005,1,1,2019-07-04 11:16:03.6129381
211,BMW,330xd (231PS),2007,1,1,2019-07-04 11:16:03.6579381
212,BMW,330xd (245PS),2008,1,1,2019-07-04 11:16:03.7019381
213,BMW,318i touring (129PS),2006,4,1,2019-07-04 11:16:03.7469381
214,BMW,318i touring (143PS),2007,4,1,2019-07-04 11:16:03.7909381
215,BMW,320i touring (150PS),2005,4,1,2019-07-04 11:16:03.8379381
216,BMW,320i touring (170PS),2007,4,1,2019-07-04 11:16:03.8839381
217,BMW,325i touring (218PS),2005,4,1,2019-07-04 11:16:03.9289381
218,BMW,325i touring (218PS),2007,4,1,2019-07-04 11:16:03.9749381
219,BMW,330i touring (258PS),2005,4,1,2019-07-04 11:16:04.0219381
220,BMW,330i touring (272PS),2007,4,1,2019-07-04 11:16:04.0659381
221,BMW,335i touring (306PS),2006,4,1,2019-07-04 11:16:04.1099381
222,BMW,335i touring (306PS),2007,4,1,2019-07-04 11:16:04.1539381
223,BMW,335i touring (306PS),2010,4,1,2019-07-04 11:16:04.1979381
224,BMW,316d touring (115PS),2010,4,1,2019-07-04 11:16:04.2419381
225,BMW,318d touring (122PS),2006,4,1,2019-07-04 11:16:04.2859381
226,BMW,318d touring (143PS),2007,4,1,2019-07-04 11:16:04.3319381
227,BMW,318d touring (143PS),2010,4,1,2019-07-04 11:16:04.3759381
228,BMW,320d touring (163PS),2005,4,1,2019-07-04 11:16:04.4199381
229,BMW,320d touring (177PS),2007,4,1,2019-07-04 11:16:04.4619381
230,BMW,320d EDE touring (163PS),2011,4,1,2019-07-04 11:16:04.5079381
231,BMW,320d touring (184PS),2010,4,1,2019-07-04 11:16:04.5529381
232,BMW,325d touring (197PS),2006,4,1,2019-07-04 11:16:04.5969381
233,BMW,325d touring (197PS),2007,4,1,2019-07-04 11:16:04.6419381
234,BMW,325d touring (204PS),2010,4,1,2019-07-04 11:16:04.6849381
235,BMW,330d touring (231PS),2005,4,1,2019-07-04 11:16:04.7289381
236,BMW,330d touring (245PS),2008,4,1,2019-07-04 11:16:04.7749381
237,BMW,335d touring (286PS),2006,4,1,2019-07-04 11:16:04.8179381
238,BMW,335d touring (286PS),2007,4,1,2019-07-04 11:16:04.8619381
239,BMW,335d touring (286PS),2010,4,1,2019-07-04 11:16:04.9059381
240,BMW,325xi touring (218PS),2005,4,1,2019-07-04 11:16:04.9489381
241,BMW,325xi touring (218PS),2007,4,1,2019-07-04 11:16:04.9949381
242,BMW,330xi touring (258PS),2005,4,1,2019-07-04 11:16:05.0379381
243,BMW,330xi touring (272PS),2007,4,1,2019-07-04 11:16:05.0839381
244,BMW,335xi touring (306PS),2007,4,1,2019-07-04 11:16:05.1269381
245,BMW,320xd touring (177PS),2008,4,1,2019-07-04 11:16:05.1709381
246,BMW,320xd touring (184PS),2010,4,1,2019-07-04 11:16:05.2159381
247,BMW,330xd touring (231PS),2005,4,1,2019-07-04 11:16:05.2589381
248,BMW,330xd touring (231PS),2007,4,1,2019-07-04 11:16:05.3019381
